book_number,title,author,language,genres,plain_text_url
11,Alice's Adventures in Wonderland,"Carroll, Lewis, 1832-1898",English,"['Classics of Literature', 'Children & Young Adult Reading', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/11.txt.utf-8
12,Through the Looking-Glass,"Carroll, Lewis, 1832-1898",English,"['Children & Young Adult Reading', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/12.txt.utf-8
15,"Moby-Dick; or, The Whale","Melville, Herman, 1819-1891",English,"['American Literature', 'Classics of Literature', 'Adventure', 'Novels']",https://www.gutenberg.org/ebooks/15.txt.utf-8
16,Peter Pan :  [Peter and Wendy],"Barrie, J. M. (James Matthew), 1860-1937",English,"['Classics of Literature', 'Children & Young Adult Reading', 'Adventure', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/16.txt.utf-8
21,Three hundred Aesop’s fablesTranslated by George Fyler Townsend,"Aesop, 621? BCE-565? BCE",English,"['Classics of Literature', 'Mythology, Legends & Folklore']",https://www.gutenberg.org/ebooks/21.txt.utf-8
24,O Pioneers!,"Cather, Willa, 1873-1947",English,"['American Literature', 'Novels']",https://www.gutenberg.org/ebooks/24.txt.utf-8
27,Far from the Madding Crowd,"Hardy, Thomas, 1840-1928",English,"['Novels', 'British Literature']",https://www.gutenberg.org/ebooks/27.txt.utf-8
28,"The Fables of AesopSelected, Told Anew, and Their History Traced","Aesop, 621? BCE-565? BCE",English,"['Mythology, Legends & Folklore', 'Short Stories', 'Children & Young Adult Reading', 'Classics of Literature']",https://www.gutenberg.org/ebooks/28.txt.utf-8
33,The Scarlet Letter,"Hawthorne, Nathaniel, 1804-1864",English,"['American Literature', 'Classics of Literature', 'Novels']",https://www.gutenberg.org/ebooks/33.txt.utf-8
35,The Time Machine,"Wells, H. G. (Herbert George), 1866-1946",English,"['Science-Fiction & Fantasy', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/35.txt.utf-8
36,The War of the Worlds,"Wells, H. G. (Herbert George), 1866-1946",English,"['Science-Fiction & Fantasy', 'Novels', 'Classics of Literature', 'British Literature']",https://www.gutenberg.org/ebooks/36.txt.utf-8
41,The Legend of Sleepy Hollow,"Irving, Washington, 1783-1859",English,"['American Literature', 'Short Stories', 'Mythology, Legends & Folklore']",https://www.gutenberg.org/ebooks/41.txt.utf-8
42,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis, 1850-1894",English,"['Classics of Literature', 'Novels', 'Crime, Thrillers and Mystery', 'British Literature']",https://www.gutenberg.org/ebooks/42.txt.utf-8
43,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis, 1850-1894",English,"['Classics of Literature', 'Novels', 'Crime, Thrillers and Mystery', 'British Literature']",https://www.gutenberg.org/ebooks/43.txt.utf-8
44,The Song of the Lark,"Cather, Willa, 1873-1947",English,"['American Literature', 'Novels']",https://www.gutenberg.org/ebooks/44.txt.utf-8
45,Anne of Green Gables,"Montgomery, L. M. (Lucy Maud), 1874-1942",English,"['Classics of Literature', 'Children & Young Adult Reading', 'Novels']",https://www.gutenberg.org/ebooks/45.txt.utf-8
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas,"Dickens, Charles, 1812-1870",English,"['Classics of Literature', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/46.txt.utf-8
47,Anne of Avonlea,"Montgomery, L. M. (Lucy Maud), 1874-1942",English,"['Children & Young Adult Reading', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/47.txt.utf-8
51,Anne of the Island,"Montgomery, L. M. (Lucy Maud), 1874-1942",English,"['Children & Young Adult Reading', 'Novels']",https://www.gutenberg.org/ebooks/51.txt.utf-8
54,The Marvelous Land of Oz,"Baum, L. Frank (Lyman Frank), 1856-1919",English,"['American Literature', 'Science-Fiction & Fantasy', 'Children & Young Adult Reading', 'Novels']",https://www.gutenberg.org/ebooks/54.txt.utf-8
55,The Wonderful Wizard of Oz,"Baum, L. Frank (Lyman Frank), 1856-1919",English,"['American Literature', 'Science-Fiction & Fantasy', 'Adventure', 'Children & Young Adult Reading']",https://www.gutenberg.org/ebooks/55.txt.utf-8
57,Aladdin and the Magic Lamp,Unknown,English,"['Historical Novels', 'Adventure', 'Mythology, Legends & Folklore']",https://www.gutenberg.org/ebooks/57.txt.utf-8
60,The Scarlet Pimpernel,"Orczy, Emmuska Orczy, Baroness, 1865-1947",English,"['Historical Novels', 'Adventure', 'British Literature']",https://www.gutenberg.org/ebooks/60.txt.utf-8
62,A Princess of Mars,"Burroughs, Edgar Rice, 1875-1950",English,"['Science-Fiction & Fantasy', 'Adventure']",https://www.gutenberg.org/ebooks/62.txt.utf-8
64,The Gods of Mars,"Burroughs, Edgar Rice, 1875-1950",English,"['American Literature', 'Science-Fiction & Fantasy', 'Adventure', 'Novels']",https://www.gutenberg.org/ebooks/64.txt.utf-8
68,The warlord of Mars,"Burroughs, Edgar Rice, 1875-1950",English,"['Science-Fiction & Fantasy', 'Adventure']",https://www.gutenberg.org/ebooks/68.txt.utf-8
72,"Thuvia, Maid of Mars","Burroughs, Edgar Rice, 1875-1950",English,"['Romance', 'Science-Fiction & Fantasy', 'Adventure', 'American Literature']",https://www.gutenberg.org/ebooks/72.txt.utf-8
74,"The Adventures of Tom Sawyer, Complete","Twain, Mark, 1835-1910",English,"['American Literature', 'Classics of Literature', 'Adventure', 'Novels']",https://www.gutenberg.org/ebooks/74.txt.utf-8
76,Adventures of Huckleberry Finn,"Twain, Mark, 1835-1910",English,"['American Literature', 'Classics of Literature', 'Adventure', 'Novels']",https://www.gutenberg.org/ebooks/76.txt.utf-8
77,The House of the Seven Gables,"Hawthorne, Nathaniel, 1804-1864",English,"['American Literature', 'Classics of Literature', 'Novels']",https://www.gutenberg.org/ebooks/77.txt.utf-8
78,Tarzan of the Apes,"Burroughs, Edgar Rice, 1875-1950",English,"['American Literature', 'Adventure', 'Novels']",https://www.gutenberg.org/ebooks/78.txt.utf-8
79,Terminal Compromise,"Schwartau, Winn, 1952-",English,"['American Literature', 'Novels', 'Crime, Thrillers and Mystery']",https://www.gutenberg.org/ebooks/79.txt.utf-8
81,The Return of Tarzan,"Burroughs, Edgar Rice, 1875-1950",English,"['Adventure', 'Novels']",https://www.gutenberg.org/ebooks/81.txt.utf-8
82,Ivanhoe: A Romance,"Scott, Walter, 1771-1832",English,"['Historical Novels', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/82.txt.utf-8
83,"From the Earth to the Moon; and, Round the Moon","Verne, Jules, 1828-1905",English,"['Science-Fiction & Fantasy', 'Novels', 'Classics of Literature', 'French Literature']",https://www.gutenberg.org/ebooks/83.txt.utf-8
84,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft, 1797-1851",English,"['Science-Fiction & Fantasy', 'Novels', 'Classics of Literature', 'British Literature']",https://www.gutenberg.org/ebooks/84.txt.utf-8
85,The Beasts of Tarzan,"Burroughs, Edgar Rice, 1875-1950",English,"['Science-Fiction & Fantasy', 'Adventure', 'Novels']",https://www.gutenberg.org/ebooks/85.txt.utf-8
86,A Connecticut Yankee in King Arthur's Court,"Twain, Mark, 1835-1910",English,"['Classics of Literature', 'American Literature', 'Science-Fiction & Fantasy', 'Humour', 'Novels']",https://www.gutenberg.org/ebooks/86.txt.utf-8
90,The Son of Tarzan,"Burroughs, Edgar Rice, 1875-1950",English,"['Adventure', 'Novels']",https://www.gutenberg.org/ebooks/90.txt.utf-8
91,Tom Sawyer Abroad,"Twain, Mark, 1835-1910",English,"['American Literature', 'Adventure', 'Humour', 'Novels']",https://www.gutenberg.org/ebooks/91.txt.utf-8
92,Tarzan and the Jewels of Opar,"Burroughs, Edgar Rice, 1875-1950",English,"['Adventure', 'Novels']",https://www.gutenberg.org/ebooks/92.txt.utf-8
93,"Tom Sawyer, Detective","Twain, Mark, 1835-1910",English,"['American Literature', 'Novels', 'Crime, Thrillers and Mystery']",https://www.gutenberg.org/ebooks/93.txt.utf-8
94,Alexander's Bridge,"Cather, Willa, 1873-1947",English,"['American Literature', 'Novels']",https://www.gutenberg.org/ebooks/94.txt.utf-8
95,The prisoner of Zenda,"Hope, Anthony, 1863-1933",English,"['Adventure', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/95.txt.utf-8
96,The Monster Men,"Burroughs, Edgar Rice, 1875-1950",English,"['American Literature', 'Science-Fiction & Fantasy', 'Adventure', 'Novels']",https://www.gutenberg.org/ebooks/96.txt.utf-8
97,Flatland: A Romance of Many Dimensions,"Abbott, Edwin Abbott, 1838-1926",English,"['Science-Fiction & Fantasy', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/97.txt.utf-8
98,A Tale of Two Cities,"Dickens, Charles, 1812-1870",English,"['Classics of Literature', 'Historical Novels', 'British Literature']",https://www.gutenberg.org/ebooks/98.txt.utf-8
102,The Tragedy of Pudd'nhead Wilson,"Twain, Mark, 1835-1910",English,"['American Literature', 'Classics of Literature', 'Novels']",https://www.gutenberg.org/ebooks/102.txt.utf-8
103,Around the World in Eighty Days,"Verne, Jules, 1828-1905",English,"['Classics of Literature', 'Adventure', 'Novels', 'French Literature']",https://www.gutenberg.org/ebooks/103.txt.utf-8
105,Persuasion,"Austen, Jane, 1775-1817",English,"['Novels', 'British Literature']",https://www.gutenberg.org/ebooks/105.txt.utf-8
106,Jungle Tales of Tarzan,"Burroughs, Edgar Rice, 1875-1950",English,"['Science-Fiction & Fantasy', 'Short Stories', 'British Literature', 'Adventure']",https://www.gutenberg.org/ebooks/106.txt.utf-8
107,Far from the Madding Crowd,"Hardy, Thomas, 1840-1928",English,"['Novels', 'British Literature']",https://www.gutenberg.org/ebooks/107.txt.utf-8
108,The Return of Sherlock Holmes,"Doyle, Arthur Conan, 1859-1930",English,"['Short Stories', 'Crime, Thrillers and Mystery', 'British Literature']",https://www.gutenberg.org/ebooks/108.txt.utf-8
110,Tess of the d'Urbervilles: A Pure Woman,"Hardy, Thomas, 1840-1928",English,"['Classics of Literature', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/110.txt.utf-8
111,Freckles,"Stratton-Porter, Gene, 1863-1924",English,"['American Literature', 'Novels']",https://www.gutenberg.org/ebooks/111.txt.utf-8
113,The Secret Garden,"Burnett, Frances Hodgson, 1849-1924",English,"['Classics of Literature', 'Children & Young Adult Reading', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/113.txt.utf-8
120,Treasure Island,"Stevenson, Robert Louis, 1850-1894",English,"['Classics of Literature', 'Adventure', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/120.txt.utf-8
121,Northanger Abbey,"Austen, Jane, 1775-1817",English,"['Classics of Literature', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/121.txt.utf-8
122,The Return of the Native,"Hardy, Thomas, 1840-1928",English,"['Classics of Literature', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/122.txt.utf-8
123,At the Earth's Core,"Burroughs, Edgar Rice, 1875-1950",English,"['Science-Fiction & Fantasy', 'Adventure']",https://www.gutenberg.org/ebooks/123.txt.utf-8
125,A Girl of the Limberlost,"Stratton-Porter, Gene, 1863-1924",English,"['American Literature', 'Children & Young Adult Reading', 'Novels']",https://www.gutenberg.org/ebooks/125.txt.utf-8
126,The Poison Belt,"Doyle, Arthur Conan, 1859-1930",English,"['Science-Fiction & Fantasy', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/126.txt.utf-8
128,The Arabian Nights Entertainments,"Lang, Andrew, 1844-1912",English,"['Adventure', 'Mythology, Legends & Folklore']",https://www.gutenberg.org/ebooks/128.txt.utf-8
133,The Damnation of Theron Ware,"Frederic, Harold, 1856-1898",English,"['American Literature', 'Novels']",https://www.gutenberg.org/ebooks/133.txt.utf-8
134,"Maria; Or, The Wrongs of Woman","Wollstonecraft, Mary, 1759-1797",English,"['Novels', 'British Literature']",https://www.gutenberg.org/ebooks/134.txt.utf-8
135,Les Misérables,"Hugo, Victor, 1802-1885",English,"['Classics of Literature', 'Historical Novels', 'Novels', 'French Literature']",https://www.gutenberg.org/ebooks/135.txt.utf-8
137,"Sara Crewe; Or, What Happened at Miss Minchin's Boarding School","Burnett, Frances Hodgson, 1849-1924",English,"['Children & Young Adult Reading', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/137.txt.utf-8
138,George Sand: Some Aspects of Her Life and Writings,"Doumic, René, 1860-1937",English,"['Biographies', 'French Literature']",https://www.gutenberg.org/ebooks/138.txt.utf-8
139,The Lost World,"Doyle, Arthur Conan, 1859-1930",English,"['Science-Fiction & Fantasy', 'Adventure', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/139.txt.utf-8
140,The Jungle,"Sinclair, Upton, 1878-1968",English,"['American Literature', 'Novels']",https://www.gutenberg.org/ebooks/140.txt.utf-8
141,Mansfield Park,"Austen, Jane, 1775-1817",English,"['Novels', 'British Literature']",https://www.gutenberg.org/ebooks/141.txt.utf-8
142,"The $30,000 Bequest, and Other Stories","Twain, Mark, 1835-1910",English,"['American Literature', 'Short Stories', 'Humour']",https://www.gutenberg.org/ebooks/142.txt.utf-8
143,The Mayor of Casterbridge,"Hardy, Thomas, 1840-1928",English,"['Classics of Literature', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/143.txt.utf-8
144,The Voyage Out,"Woolf, Virginia, 1882-1941",English,"['Novels', 'British Literature']",https://www.gutenberg.org/ebooks/144.txt.utf-8
145,Middlemarch,"Eliot, George, 1819-1880",English,"['Classics of Literature', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/145.txt.utf-8
146,A Little PrincessBeing the whole story of Sara Crewe now told for the first time,"Burnett, Frances Hodgson, 1849-1924",English,"['Children & Young Adult Reading', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/146.txt.utf-8
149,The Lost Continent,"Burroughs, Edgar Rice, 1875-1950",English,"['American Literature', 'Science-Fiction & Fantasy', 'Adventure', 'Novels']",https://www.gutenberg.org/ebooks/149.txt.utf-8
153,Jude the Obscure,"Hardy, Thomas, 1840-1928",English,"['Novels', 'British Literature']",https://www.gutenberg.org/ebooks/153.txt.utf-8
154,The Rise of Silas Lapham,"Howells, William Dean, 1837-1920",English,"['American Literature', 'Novels']",https://www.gutenberg.org/ebooks/154.txt.utf-8
155,The Moonstone,"Collins, Wilkie, 1824-1889",English,"['Novels', 'Crime, Thrillers and Mystery', 'British Literature']",https://www.gutenberg.org/ebooks/155.txt.utf-8
157,Daddy-Long-Legs,"Webster, Jean, 1876-1916",English,"['American Literature', 'Novels']",https://www.gutenberg.org/ebooks/157.txt.utf-8
158,Emma,"Austen, Jane, 1775-1817",English,"['Novels', 'British Literature']",https://www.gutenberg.org/ebooks/158.txt.utf-8
159,The island of Doctor Moreau,"Wells, H. G. (Herbert George), 1866-1946",English,"['Science-Fiction & Fantasy', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/159.txt.utf-8
160,"The Awakening, and Selected Short Stories","Chopin, Kate, 1850-1904",English,"['American Literature', 'Classics of Literature', 'Novels']",https://www.gutenberg.org/ebooks/160.txt.utf-8
161,Sense and Sensibility,"Austen, Jane, 1775-1817",English,"['Romance', 'Novels', 'Classics of Literature', 'British Literature']",https://www.gutenberg.org/ebooks/161.txt.utf-8
163,Flower Fables,"Alcott, Louisa May, 1832-1888",English,"['American Literature', 'Mythology, Legends & Folklore', 'Short Stories', 'Children & Young Adult Reading']",https://www.gutenberg.org/ebooks/163.txt.utf-8
164,Twenty Thousand Leagues under the Sea,"Verne, Jules, 1828-1905",English,"['Science-Fiction & Fantasy', 'Adventure', 'Classics of Literature', 'French Literature']",https://www.gutenberg.org/ebooks/164.txt.utf-8
165,McTeague: A Story of San Francisco,"Norris, Frank, 1870-1902",English,"['American Literature', 'Novels']",https://www.gutenberg.org/ebooks/165.txt.utf-8
166,Summer,"Wharton, Edith, 1862-1937",English,"['American Literature', 'Novels']",https://www.gutenberg.org/ebooks/166.txt.utf-8
169,The Well at the World's End: A Tale,"Morris, William, 1834-1896",English,"['Science-Fiction & Fantasy', 'Adventure', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/169.txt.utf-8
170,The Haunted Hotel: A Mystery of Modern Venice,"Collins, Wilkie, 1824-1889",English,"['Novels', 'Crime, Thrillers and Mystery', 'British Literature']",https://www.gutenberg.org/ebooks/170.txt.utf-8
171,Charlotte Temple,"Rowson, Mrs., 1762-1824",English,"['Novels', 'British Literature']",https://www.gutenberg.org/ebooks/171.txt.utf-8
172,The Haunted Bookshop,"Morley, Christopher, 1890-1957",English,"['American Literature', 'Novels']",https://www.gutenberg.org/ebooks/172.txt.utf-8
